Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
Porsche,Macan 4 Electric (MY26),470 km,563 km,95.0 kWh,2405 kg,5.2 sec,202 Wh/km,5,D,200 kW,2500 kg,624 L,€182 /km,"€84,600"
Kia,e-Soul 64 kWh,370 km,343 km,64.0 kWh,1757 kg,7.9 sec,173 Wh/km,5,B,64 kW,0 kg,315 L,€107 /km,"€42,390"
Maserati,Grecale Folgore,400 km,402 km,95.0 kWh,2555 kg,4.1 sec,238 Wh/km,5,E,110 kW,1800 kg,535 L,€313 /km,"€124,301"
BMW,i3 94 Ah,165 km,170 km,27.2 kWh,1320 kg,7.3 sec,165 Wh/km,4,B,46 kW,unknown,260 L,€218 /km,"€36,800"
Mercedes-Benz,EQS AMG 53 4MATIC+,585 km,619 km,118.0 kWh,2700 kg,3.4 sec,202 Wh/km,5,F,160 kW,1700 kg,620 L,€294 /km,"€155,009"
MG,MGS5  EV 49 kWh,275 km,309 km,47.1 kWh,1710 kg,8.0 sec,171 Wh/km,5,C,80 kW,750 kg,453 L,€127 /km,"€37,990"
Volkswagen,ID.7 Pro (MY26),475 km,541 km,77.0 kWh,2180 kg,6.5 sec,162 Wh/km,5,E,125 kW,1000 kg,532 L,€114 /km,"€54,105"
Tesla,Model X AWD (MY26),490 km,544 km,95.0 kWh,2423 kg,3.9 sec,194 Wh/km,7,F,140 kW,2250 kg,608 L,€237 /km,"€115,970"
Tesla,Model X Long Range Plus,480 km,529 km,98.0 kWh,2505 kg,4.6 sec,204 Wh/km,7,F,125 kW,2250 kg,unknown,€199 /km,"€90,990"
NIO,EL7 Long Range,430 km,421 km,90.0 kWh,2441 kg,3.9 sec,209 Wh/km,5,F,100 kW,2000 kg,570 L,€224 /km,"€94,900"
Citroën,ë-C3 Urban Range 30 kWh,175 km,156 km,29.8 kWh,1413 kg,11.6 sec,170 Wh/km,5,B,30 kW,0 kg,310 L,€120 /km,N/A
Renault,Zoe Q210,140 km,148 km,23.3 kWh,1503 kg,13.5 sec,166 Wh/km,5,B,33 kW,unknown,338 L,€134 /km,N/A
Volkswagen,ID.3 Pro,350 km,378 km,58.0 kWh,1805 kg,9.6 sec,166 Wh/km,5,C,82 kW,0 kg,385 L,€100 /km,"€34,995"
Citroën,ë-C4 X,285 km,318 km,46.3 kWh,1659 kg,9.7 sec,162 Wh/km,5,C,78 kW,0 kg,510 L,€129 /km,"€35,275"
Porsche,Taycan Plus,575 km,750 km,97.0 kWh,2245 kg,4.8 sec,169 Wh/km,5,F,262 kW,0 kg,491 L,€188 /km,"€107,224"
Porsche,Taycan 4 Cross Turismo,420 km,531 km,83.7 kWh,2320 kg,5.1 sec,199 Wh/km,5,F,216 kW,0 kg,530 L,€238 /km,"€98,514"
Mini,Countryman SE ALL4,365 km,389 km,64.6 kWh,2075 kg,5.6 sec,177 Wh/km,5,C,93 kW,1200 kg,460 L,€138 /km,"€49,500"
Polestar,3 Long Range Single motor (MY23-25),530 km,571 km,107.0 kWh,2478 kg,7.8 sec,202 Wh/km,5,E,150 kW,1500 kg,516 L,€150 /km,"€78,590"
Audi,e-tron GT quattro,540 km,712 km,97.0 kWh,2355 kg,4.0 sec,180 Wh/km,4,F,281 kW,0 kg,482 L,€192 /km,"€108,900"
Tesla,Model X 90D,395 km,387 km,85.5 kWh,2464 kg,5.0 sec,216 Wh/km,7,F,90 kW,unknown,unknown,€287 /km,"€113,300"
Kia,Soul EV,170 km,172 km,30.0 kWh,1580 kg,11.2 sec,176 Wh/km,5,B,40 kW,0 kg,281 L,€190 /km,"€29,490"
Mercedes-Benz,EQS 580 4MATIC,640 km,682 km,118.0 kWh,2655 kg,4.4 sec,184 Wh/km,5,F,160 kW,1700 kg,620 L,€245 /km,"€141,705"
Porsche,Macan GTS Electric (MY26),455 km,544 km,95.0 kWh,2470 kg,3.8 sec,209 Wh/km,5,D,200 kW,unknown,560 L,€232 /km,"€104,200"
Audi,e-tron 55 quattro,365 km,384 km,86.5 kWh,2565 kg,5.7 sec,237 Wh/km,5,E,146 kW,1800 kg,660 L,€222 /km,"€80,900"
Polestar,3 Long Range Performance (MY23-25),480 km,516 km,107.0 kWh,2654 kg,4.7 sec,223 Wh/km,5,E,150 kW,2200 kg,516 L,€194 /km,"€92,190"
NIO,ET5 Touring Long Range,485 km,527 km,90.0 kWh,2285 kg,4.0 sec,186 Wh/km,5,E,135 kW,1400 kg,450 L,€146 /km,"€68,500"
Tesla,Model S P90D,415 km,408 km,85.5 kWh,2262 kg,3.3 sec,206 Wh/km,5,F,90 kW,unknown,895 L,€292 /km,"€120,300"
CUPRA,Born VZ,465 km,517 km,79.0 kWh,1999 kg,5.6 sec,170 Wh/km,5,C,135 kW,0 kg,385 L,€111 /km,"€52,870"
Tesla,Model X P100D,420 km,413 km,95.0 kWh,2572 kg,3.1 sec,226 Wh/km,7,F,100 kW,2250 kg,unknown,€374 /km,"€156,900"
Lexus,UX 300e,235 km,199 km,45.0 kWh,1860 kg,7.5 sec,191 Wh/km,5,C,32 kW,0 kg,316 L,€198 /km,"€47,550"
CUPRA,Born 170 kW - 59 kWh,360 km,416 km,59.0 kWh,1841 kg,6.7 sec,164 Wh/km,5,C,110 kW,0 kg,385 L,€107 /km,"€41,450"
Tesla,Model X Performance,470 km,516 km,98.0 kWh,2552 kg,3.1 sec,209 Wh/km,7,F,125 kW,2250 kg,unknown,€240 /km,"€107,990"
Mercedes-Benz,EQE 350 4MATIC (MY23),510 km,547 km,89.0 kWh,2475 kg,6.3 sec,175 Wh/km,5,E,120 kW,750 kg,430 L,€157 /km,"€74,149"
Zeekr,X Long Range RWD,360 km,401 km,65.0 kWh,1930 kg,5.6 sec,181 Wh/km,5,B,114 kW,1600 kg,362 L,€121 /km,N/A
BMW,i5 M60 xDrive Sedan,420 km,479 km,81.2 kWh,2380 kg,3.8 sec,193 Wh/km,5,E,136 kW,2000 kg,490 L,€255 /km,"€99,500"
Volkswagen,ID.5 GTX (MY24-25),430 km,477 km,77.0 kWh,2242 kg,5.5 sec,179 Wh/km,5,C,120 kW,1200 kg,549 L,€141 /km,"€56,455"
Kia,Soul EV,155 km,162 km,27.0 kWh,1565 kg,11.2 sec,174 Wh/km,5,B,40 kW,0 kg,281 L,€199 /km,"€28,890"
Mitsubishi,i-MiEV,85 km,98 km,14.5 kWh,1185 kg,15.9 sec,171 Wh/km,4,A,30 kW,0 kg,166 L,€342 /km,"€29,393"
Citroën,ë-C4 X 54 kWh,335 km,358 km,50.8 kWh,1652 kg,9.1 sec,152 Wh/km,5,C,78 kW,0 kg,510 L,€107 /km,"€34,800"
Renault,Scenic E-Tech EV60 170hp (TU2025),340 km,354 km,60.0 kWh,1822 kg,8.6 sec,176 Wh/km,5,C,75 kW,1100 kg,545 L,€117 /km,"€40,400"
Polestar,5 Performance,530 km,637 km,106.0 kWh,2465 kg,3.2 sec,200 Wh/km,4,F,210 kW,1800 kg,427 L,€256 /km,"€141,600"
Volkswagen,ID.3 Pure Performance,275 km,252 km,45.0 kWh,1772 kg,8.9 sec,164 Wh/km,5,C,45 kW,0 kg,385 L,€116 /km,"€31,960"
Citroën,ë-C3 Aircross Comfort Range 44 kWh,240 km,253 km,43.8 kWh,1579 kg,12.9 sec,183 Wh/km,5,B,60 kW,350 kg,460 L,€110 /km,"€26,490"
BMW,i3 94 Ah,165 km,170 km,27.2 kWh,1320 kg,7.3 sec,165 Wh/km,4,B,46 kW,0 kg,260 L,€226 /km,"€37,550"
Aiways,U5,315 km,313 km,60.0 kWh,1795 kg,7.5 sec,190 Wh/km,5,C,78 kW,unknown,432 L,€121 /km,"€35,993"
Audi,A6 Sportback e-tron quattro,570 km,694 km,94.9 kWh,2360 kg,4.7 sec,166 Wh/km,5,E,200 kW,2100 kg,529 L,€144 /km,"€79,800"
Opel,Astra Sports Tourer Electric,310 km,334 km,50.8 kWh,1760 kg,9.3 sec,164 Wh/km,5,C,85 kW,0 kg,516 L,€133 /km,"€43,490"
Lancia,Ypsilon (MY24),310 km,334 km,48.1 kWh,1561 kg,8.2 sec,155 Wh/km,5,B,80 kW,0 kg,309 L,€114 /km,N/A
Volkswagen,ID.7 Tourer Pro (MY26),470 km,535 km,77.0 kWh,2191 kg,6.6 sec,164 Wh/km,5,E,125 kW,1000 kg,605 L,€117 /km,"€54,905"
Renault,Zoe R110,250 km,182 km,41.0 kWh,1575 kg,11.4 sec,164 Wh/km,5,B,0 kW,0 kg,338 L,€132 /km,"€35,900"
Mercedes-Benz,EQB 350 4MATIC,340 km,350 km,66.5 kWh,2175 kg,6.2 sec,196 Wh/km,7,C,100 kW,0 kg,495 L,€188 /km,"€58,197"
Kia,e-Niro 64 kWh,375 km,349 km,64.0 kWh,1812 kg,7.8 sec,171 Wh/km,5,C,64 kW,0 kg,451 L,€106 /km,"€39,090"
Renault,4 E-Tech 40kWh 120hp,245 km,253 km,40.0 kWh,1485 kg,9.2 sec,163 Wh/km,5,B,55 kW,750 kg,420 L,€116 /km,"€29,400"
Peugeot,e-308 58 kWh (MY26),345 km,351 km,55.4 kWh,1749 kg,9.3 sec,161 Wh/km,5,C,65 kW,0 kg,361 L,€107 /km,N/A
Volkswagen,ID.4 Pure,285 km,301 km,52.0 kWh,1966 kg,10.9 sec,182 Wh/km,5,C,70 kW,1000 kg,543 L,€146 /km,"€36,950"
Renault,Megane E-Tech EV40 130hp,260 km,277 km,40.0 kWh,1588 kg,10.0 sec,154 Wh/km,5,C,55 kW,500 kg,440 L,€151 /km,"€42,000"
SEAT,Mii Electric,205 km,188 km,32.3 kWh,1235 kg,12.3 sec,158 Wh/km,4,A,30 kW,0 kg,251 L,€116 /km,"€24,650"
Mercedes-Benz,EQA 300 4MATIC,350 km,359 km,66.5 kWh,2110 kg,7.7 sec,190 Wh/km,5,C,100 kW,1800 kg,340 L,€166 /km,"€53,520"
Mini,Aceman E,230 km,243 km,38.5 kWh,1720 kg,7.9 sec,167 Wh/km,5,B,60 kW,750 kg,300 L,€160 /km,"€34,900"
Mercedes-Benz,EQS 450+,635 km,702 km,108.4 kWh,2515 kg,6.1 sec,171 Wh/km,5,F,173 kW,750 kg,620 L,€180 /km,"€109,551"
Škoda,Elroq RS (MY25),450 km,508 km,79.0 kWh,2229 kg,5.4 sec,176 Wh/km,5,C,135 kW,1200 kg,470 L,€118 /km,"€53,050"
MG,IM6 Performance,440 km,554 km,96.5 kWh,2410 kg,3.5 sec,219 Wh/km,5,D,250 kW,unknown,697 L,€133 /km,N/A
Porsche,Taycan Turbo,415 km,528 km,83.7 kWh,2380 kg,3.2 sec,202 Wh/km,5,F,216 kW,0 kg,450 L,€367 /km,"€156,348"
Mercedes-Benz,EQE 350+ (MY25),555 km,597 km,96.0 kWh,2415 kg,6.1 sec,173 Wh/km,5,E,141 kW,750 kg,430 L,€132 /km,"€71,412"
Volkswagen,ID.3 Pro S,450 km,488 km,77.0 kWh,1934 kg,7.9 sec,171 Wh/km,4,C,115 kW,0 kg,385 L,€96 /km,"€41,995"
Renault,Zoe ZE40 R110,255 km,232 km,41.0 kWh,1502 kg,11.4 sec,161 Wh/km,5,B,40 kW,0 kg,338 L,€118 /km,"€29,990"
Hongqi,E-HS9 84 kWh,320 km,334 km,76.5 kWh,2580 kg,6.5 sec,239 Wh/km,5,F,112 kW,1500 kg,438 L,€219 /km,N/A
XPENG,P7 Wing Edition,455 km,514 km,82.7 kWh,2255 kg,4.1 sec,182 Wh/km,5,E,138 kW,0 kg,440 L,€155 /km,"€69,600"
Volkswagen,ID.4 GTX (MY24-25),420 km,460 km,77.0 kWh,2256 kg,5.4 sec,183 Wh/km,5,C,120 kW,1200 kg,543 L,€139 /km,"€53,255"
Aiways,U5,315 km,313 km,60.0 kWh,1795 kg,7.5 sec,190 Wh/km,5,C,78 kW,unknown,496 L,€128 /km,"€39,563"
Volvo,EC40 Single Motor ER (MY25),420 km,459 km,79.0 kWh,2095 kg,7.3 sec,188 Wh/km,5,C,125 kW,1500 kg,435 L,€137 /km,"€57,190"
Volkswagen,ID.3 GTX Performance (MY24-26),465 km,526 km,79.0 kWh,1993 kg,5.6 sec,170 Wh/km,5,C,135 kW,0 kg,385 L,€108 /km,"€48,725"
Volkswagen,ID.4 GTX (MY26),435 km,485 km,79.0 kWh,2248 kg,5.4 sec,182 Wh/km,5,C,135 kW,1800 kg,543 L,€129 /km,"€53,255"
TOGG,T10F Long Range AWD,465 km,505 km,85.0 kWh,2294 kg,4.1 sec,183 Wh/km,5,D,115 kW,0 kg,505 L,€97 /km,"* €45,000"
MG,IM5 Standard Range,415 km,460 km,73.5 kWh,2180 kg,6.8 sec,177 Wh/km,5,D,120 kW,unknown,475 L,€109 /km,N/A
Volvo,XC40 Recharge Pure Electric (MY22),305 km,325 km,67.0 kWh,2030 kg,7.4 sec,220 Wh/km,5,C,116 kW,1500 kg,450 L,€164 /km,"€48,650"
Lexus,RZ 500e (MY26),395 km,431 km,72.0 kWh,2100 kg,4.6 sec,182 Wh/km,5,D,110 kW,1500 kg,522 L,€166 /km,"€63,000"
Volvo,XC40 P8 AWD Recharge (MY21),335 km,348 km,75.0 kWh,2188 kg,4.9 sec,224 Wh/km,5,C,108 kW,1500 kg,450 L,€173 /km,"€60,437"
Audi,Q4 Sportback e-tron 40,425 km,453 km,76.6 kWh,2120 kg,8.5 sec,180 Wh/km,5,C,125 kW,1000 kg,535 L,€138 /km,"€53,900"
Mercedes-Benz,EQB 300 4MATIC,340 km,350 km,66.5 kWh,2175 kg,8.0 sec,196 Wh/km,7,C,100 kW,0 kg,495 L,€181 /km,"€55,519"
Audi,e-tron Sportback 55 quattro,380 km,399 km,86.5 kWh,2565 kg,5.7 sec,228 Wh/km,5,E,146 kW,1800 kg,615 L,€209 /km,"€83,750"
Nissan,Micra Standard Range 40 kWh,260 km,269 km,40.0 kWh,1452 kg,9.0 sec,154 Wh/km,5,B,55 kW,500 kg,326 L,€106 /km,"€27,990"
BMW,i5 eDrive40 Touring (MY25),465 km,529 km,81.2 kWh,2255 kg,6.1 sec,175 Wh/km,5,E,136 kW,1500 kg,570 L,€167 /km,"€72,200"
BMW,i4 xDrive40,490 km,562 km,81.1 kWh,2260 kg,5.1 sec,166 Wh/km,5,D,130 kW,1600 kg,470 L,€134 /km,"€64,100"
CUPRA,Born 150 kW - 59 kWh,360 km,416 km,59.0 kWh,1842 kg,7.7 sec,164 Wh/km,5,C,110 kW,0 kg,385 L,€101 /km,"€40,450"
Smart,ForTwo Electric Drive,100 km,71 km,16.7 kWh,1085 kg,11.5 sec,167 Wh/km,2,A,0 kW,0 kg,260 L,€215 /km,"€21,940"
Hyundai,Kona Electric 64 kWh,390 km,363 km,64.0 kWh,1760 kg,7.6 sec,164 Wh/km,5,B,64 kW,0 kg,332 L,€101 /km,"€39,000"
Nissan,Ariya e-4ORCE 87kWh - 225 kW,405 km,400 km,87.0 kWh,2259 kg,5.7 sec,215 Wh/km,5,C,110 kW,1500 kg,415 L,€136 /km,"€57,490"
BYD,DOLPHIN 44.9 kWh Active (MY24),265 km,251 km,44.9 kWh,1650 kg,12.3 sec,169 Wh/km,5,C,50 kW,0 kg,345 L,€113 /km,N/A
Smart,#1 Premium,335 km,364 km,62.0 kWh,1875 kg,6.7 sec,185 Wh/km,5,B,100 kW,1600 kg,338 L,€132 /km,"€44,990"
Volkswagen,ID.7 Tourer GTX (MY24-25),500 km,570 km,86.0 kWh,2339 kg,5.5 sec,172 Wh/km,5,E,145 kW,1200 kg,605 L,€138 /km,"€63,955"
Smart,#5 Summit Edition (MY25),450 km,561 km,94.0 kWh,2445 kg,4.9 sec,209 Wh/km,5,D,230 kW,1600 kg,677 L,€128 /km,"€56,900"
TOGG,T10X Long Range AWD,425 km,450 km,85.0 kWh,2208 kg,4.8 sec,200 Wh/km,5,C,115 kW,0 kg,441 L,€106 /km,"* €45,000"
Mercedes-Benz,EQS SUV 580 4MATIC,530 km,543 km,118.0 kWh,2845 kg,4.7 sec,223 Wh/km,7,F,160 kW,1800 kg,645 L,€303 /km,"€147,923"
Volkswagen,ID.5 Pro (MY26),455 km,508 km,77.0 kWh,2131 kg,6.7 sec,169 Wh/km,5,C,120 kW,1000 kg,549 L,€115 /km,"€51,270"
VinFast,VF 6 Eco,315 km,322 km,59.6 kWh,2050 kg,10.3 sec,189 Wh/km,5,D,90 kW,0 kg,unknown,€113 /km,"€34,990"
Mercedes-Benz,EQA 300 4MATIC,350 km,359 km,66.5 kWh,2105 kg,7.7 sec,190 Wh/km,5,C,100 kW,1800 kg,340 L,€170 /km,"€53,746"
Dacia,Spring Electric,160 km,151 km,25.0 kWh,1020 kg,19.1 sec,156 Wh/km,4,A,29 kW,0 kg,300 L,€120 /km,"€20,490"
Škoda,Enyaq 60 (MY24),335 km,361 km,58.0 kWh,1992 kg,8.7 sec,173 Wh/km,5,C,82 kW,1000 kg,585 L,€133 /km,"€44,200"
Mercedes-Benz,EQS 500 4MATIC,640 km,682 km,118.0 kWh,2655 kg,4.9 sec,184 Wh/km,5,F,160 kW,1700 kg,620 L,€212 /km,"€125,378"
Ford,Mustang Mach-E GT (MY24),425 km,433 km,91.0 kWh,2343 kg,3.8 sec,214 Wh/km,5,D,115 kW,750 kg,619 L,€175 /km,"€77,300"
Polestar,2 Long Range Performance (MY24),450 km,507 km,79.0 kWh,2180 kg,4.2 sec,176 Wh/km,5,D,125 kW,1500 kg,446 L,€139 /km,"€58,775"
Abarth,500e Hatchback,225 km,251 km,37.8 kWh,1410 kg,7.0 sec,168 Wh/km,4,B,67 kW,0 kg,185 L,€169 /km,"€37,990"
Porsche,Macan 4S Electric (MY25),470 km,563 km,95.0 kWh,2420 kg,4.1 sec,202 Wh/km,5,D,200 kW,2000 kg,624 L,€196 /km,"€90,700"
Abarth,500e Convertible,225 km,251 km,37.8 kWh,1435 kg,7.0 sec,168 Wh/km,4,B,67 kW,0 kg,185 L,€182 /km,"€40,990"
Peugeot,e-2008 50 kWh,270 km,294 km,46.3 kWh,1623 kg,9.9 sec,171 Wh/km,5,B,78 kW,0 kg,434 L,€142 /km,"€39,000"
Renault,Zoe R240,145 km,102 km,23.3 kWh,1502 kg,13.5 sec,161 Wh/km,5,B,0 kW,unknown,338 L,€148 /km,"€21,500"
Audi,Q4 Sportback e-tron 45,435 km,485 km,77.0 kWh,2145 kg,6.7 sec,177 Wh/km,5,C,120 kW,1000 kg,535 L,€128 /km,"€54,950"
Audi,e-tron GT S,540 km,712 km,97.0 kWh,2385 kg,3.4 sec,180 Wh/km,4,F,281 kW,0 kg,482 L,€235 /km,"€126,000"
Nissan,LEAF e+ 62 kWh (MY19-22),345 km,297 km,59.0 kWh,1756 kg,7.3 sec,171 Wh/km,5,C,44 kW,0 kg,420 L,€112 /km,"€37,550"
Volkswagen,ID.4 Pro 4MOTION (MY24-25),435 km,477 km,77.0 kWh,2233 kg,6.6 sec,177 Wh/km,5,C,120 kW,1200 kg,543 L,€116 /km,"€49,020"
Mercedes-Benz,EQE 500 4MATIC (MY24),505 km,555 km,90.6 kWh,2490 kg,4.7 sec,179 Wh/km,5,E,141 kW,1700 kg,430 L,€177 /km,"€88,215"
CUPRA,Born 170 kW - 77 kWh,460 km,512 km,77.0 kWh,1969 kg,7.0 sec,167 Wh/km,5,C,125 kW,0 kg,385 L,€99 /km,"€47,250"
Ford,Mustang Mach-E ER AWD (MY24),445 km,447 km,91.0 kWh,2245 kg,4.6 sec,204 Wh/km,5,D,115 kW,1500 kg,619 L,€148 /km,"€65,900"
KGM,Musso EV 2WD,365 km,359 km,81.0 kWh,2265 kg,9.2 sec,222 Wh/km,5,N,100 kW,1800 kg,907 L,€121 /km,N/A
Mercedes-Benz,EQE 300 (MY25),525 km,570 km,89.0 kWh,2375 kg,6.9 sec,170 Wh/km,5,E,120 kW,750 kg,430 L,€128 /km,"€67,187"
Audi,e-tron Sportback 50 quattro,295 km,315 km,64.7 kWh,2445 kg,6.8 sec,219 Wh/km,5,E,114 kW,1800 kg,615 L,€244 /km,"€71,350"
Dacia,Spring Electric,160 km,151 km,25.0 kWh,1012 kg,19.1 sec,156 Wh/km,4,A,29 kW,0 kg,300 L,€123 /km,"€20,490"
Ford,Mustang Mach-E ER AWD (MY23.75),440 km,447 km,91.0 kWh,2257 kg,5.8 sec,207 Wh/km,5,D,115 kW,1500 kg,619 L,€158 /km,"€65,900"
Smart,#5 Pro+ (MY25),465 km,579 km,94.0 kWh,2335 kg,6.5 sec,202 Wh/km,5,D,230 kW,1600 kg,702 L,€111 /km,"€50,900"
Kia,EV6 Standard Range 2WD,305 km,377 km,54.0 kWh,1875 kg,8.5 sec,177 Wh/km,5,C,140 kW,750 kg,563 L,€148 /km,"€46,990"
Mercedes-Benz,EQA 350 4MATIC,350 km,359 km,66.5 kWh,2105 kg,6.0 sec,190 Wh/km,5,C,100 kW,1800 kg,340 L,€177 /km,"€56,424"
Lexus,RZ 300e (MY23-25),355 km,391 km,64.0 kWh,2030 kg,8.0 sec,180 Wh/km,5,D,100 kW,750 kg,522 L,€157 /km,"€55,590"
Mini,Cooper JCW,290 km,308 km,49.2 kWh,1730 kg,5.9 sec,170 Wh/km,4,B,75 kW,0 kg,200 L,€156 /km,"€40,650"
Opel,Corsa Electric 50 kWh (MY25),290 km,318 km,46.3 kWh,1544 kg,8.7 sec,160 Wh/km,5,B,78 kW,0 kg,267 L,€102 /km,"€29,990"
Volkswagen,e-Up!,100 km,111 km,16.0 kWh,1229 kg,12.4 sec,160 Wh/km,4,A,30 kW,0 kg,250 L,€235 /km,"€22,975"
Polestar,2 Standard Range Single Motor,345 km,389 km,61.0 kWh,2015 kg,7.4 sec,177 Wh/km,5,D,116 kW,1500 kg,440 L,€133 /km,"€45,500"
Audi,S6 Sportback e-tron,555 km,674 km,94.9 kWh,2400 kg,3.9 sec,171 Wh/km,5,E,200 kW,2100 kg,529 L,€187 /km,"€99,500"
e.GO,e.wave X,150 km,106 km,27.0 kWh,1280 kg,12.0 sec,180 Wh/km,4,B,0 kW,0 kg,116 L,€167 /km,"€24,990"
Toyota,Urban Cruiser 61.1 kWh,330 km,307 km,59.8 kWh,1835 kg,8.7 sec,181 Wh/km,5,B,60 kW,750 kg,238 L,€110 /km,"€36,990"
Polestar,3 Dual Motor (MY26),500 km,590 km,102.0 kWh,2565 kg,4.7 sec,204 Wh/km,5,E,200 kW,2200 kg,508 L,€179 /km,N/A
Mercedes-Benz,EQA 250,395 km,405 km,66.5 kWh,2040 kg,8.6 sec,168 Wh/km,5,C,100 kW,750 kg,340 L,€137 /km,"€50,777"
Kia,EV9 99.8 kWh AWD GT,420 km,468 km,96.0 kWh,2648 kg,4.6 sec,229 Wh/km,7,F,194 kW,2500 kg,385 L,€217 /km,"€89,990"
Renault,Zoe R90,255 km,182 km,41.0 kWh,1555 kg,13.5 sec,161 Wh/km,5,B,0 kW,0 kg,338 L,€122 /km,"€33,200"
Mercedes-Benz,EQB 250,385 km,397 km,66.5 kWh,2110 kg,8.9 sec,173 Wh/km,7,C,100 kW,0 kg,495 L,€146 /km,"€52,550"
Audi,Q6 Sportback e-tron performance,510 km,597 km,94.9 kWh,2275 kg,6.6 sec,186 Wh/km,5,D,190 kW,2000 kg,575 L,€144 /km,"€71,200"
Lightyear,0,550 km,535 km,60.0 kWh,1575 kg,10.0 sec,109 Wh/km,5,F,60 kW,0 kg,640 L,€548 /km,"€297,500"
Škoda,Enyaq RS (MY25),460 km,520 km,79.0 kWh,2236 kg,5.4 sec,172 Wh/km,5,C,135 kW,1200 kg,585 L,€127 /km,"€58,600"
TOGG,T10X Standard Range RWD,265 km,327 km,50.0 kWh,2024 kg,7.4 sec,189 Wh/km,5,C,70 kW,0 kg,441 L,€129 /km,"€34,295"
Mercedes-Benz,EQC 400 4MATIC,370 km,366 km,80.0 kWh,2495 kg,5.1 sec,216 Wh/km,5,D,100 kW,1800 kg,500 L,€201 /km,"€69,484"
Audi,e-tron S Sportback,330 km,348 km,86.5 kWh,2730 kg,4.5 sec,262 Wh/km,5,E,146 kW,1800 kg,615 L,€292 /km,"€96,050"
Audi,e-tron GT RS,525 km,693 km,97.0 kWh,2395 kg,2.8 sec,185 Wh/km,4,F,281 kW,0 kg,427 L,€282 /km,"€147,500"
Peugeot,e-408 58 kWh,350 km,363 km,58.3 kWh,1879 kg,7.2 sec,167 Wh/km,5,C,70 kW,0 kg,471 L,€124 /km,"€44,600"
DS Automobiles,N°4 E-Tense,370 km,388 km,58.3 kWh,1867 kg,7.1 sec,158 Wh/km,5,C,70 kW,0 kg,390 L,€115 /km,"€45,900"
Genesis,GV60 Premium (MY22-24),390 km,487 km,74.0 kWh,1975 kg,7.8 sec,190 Wh/km,5,C,200 kW,1600 kg,432 L,€159 /km,N/A
Mercedes-Benz,EQE SUV 500 4MATIC (MY23-24),455 km,482 km,96.0 kWh,2610 kg,4.9 sec,211 Wh/km,5,E,141 kW,1800 kg,520 L,€235 /km,"€99,841"
Audi,S6 Avant e-tron,530 km,638 km,94.9 kWh,2410 kg,3.9 sec,179 Wh/km,5,E,200 kW,2100 kg,529 L,€199 /km,"€101,150"
Zeekr,X Long Range RWD (MY25),360 km,401 km,65.0 kWh,1930 kg,5.6 sec,181 Wh/km,5,B,114 kW,1600 kg,362 L,€121 /km,N/A
XPENG,P7 AWD Performance,460 km,521 km,82.7 kWh,2215 kg,4.1 sec,180 Wh/km,5,E,138 kW,0 kg,440 L,€130 /km,"€58,600"
Mercedes-Benz,EQT 200 Standard,225 km,225 km,45.0 kWh,1867 kg,12.6 sec,200 Wh/km,5,N,50 kW,1500 kg,551 L,€200 /km,"€39,623"
Porsche,Taycan Turbo GT,475 km,609 km,97.0 kWh,2365 kg,2.3 sec,204 Wh/km,5,F,262 kW,0 kg,410 L,€494 /km,"€240,000"
Mitsubishi,i-MiEV,85 km,98 km,14.5 kWh,1160 kg,15.9 sec,171 Wh/km,4,A,30 kW,0 kg,166 L,€310 /km,"€23,790"
Ford,Mustang Mach-E SR RWD (MY21),365 km,364 km,68.0 kWh,2044 kg,6.9 sec,186 Wh/km,5,D,78 kW,750 kg,619 L,€134 /km,"€47,500"
Opel,Grandland Electric 73 kWh AWD,355 km,372 km,73.0 kWh,2325 kg,6.1 sec,206 Wh/km,5,C,90 kW,1350 kg,485 L,€141 /km,"€51,750"
Kia,PV5 Passenger 51.5 kWh (MY26),230 km,257 km,48.0 kWh,2065 kg,12.8 sec,209 Wh/km,5,N,75 kW,1500 kg,1330 L,€170 /km,"€38,290"
Tesla,Model S Performance,515 km,546 km,95.0 kWh,2307 kg,2.8 sec,184 Wh/km,5,F,110 kW,0 kg,894 L,€193 /km,"€96,990"
Audi,Q4 Sportback e-tron 45 quattro,410 km,453 km,77.0 kWh,2235 kg,6.6 sec,188 Wh/km,5,C,120 kW,1200 kg,535 L,€142 /km,"€56,950"
Citroën,C-Zero,85 km,101 km,14.5 kWh,1140 kg,15.9 sec,171 Wh/km,4,A,30 kW,0 kg,166 L,€252 /km,"€21,800"
Zeekr,001 Privilege AWD,480 km,521 km,94.0 kWh,2410 kg,3.8 sec,196 Wh/km,5,E,135 kW,2000 kg,539 L,€145 /km,N/A
Volkswagen,ID.7 GTX (MY26),500 km,572 km,86.0 kWh,2325 kg,5.5 sec,172 Wh/km,5,E,145 kW,1800 kg,532 L,€130 /km,"€63,265"
Dacia,Spring Electric 65 Extreme,160 km,149 km,25.0 kWh,1035 kg,13.7 sec,156 Wh/km,4,A,29 kW,0 kg,300 L,€150 /km,"€24,550"
